Datetime,Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows,PowerConsumption
8/30/2017 0:00,24.44,90.6,4.916,0.088,0.1,34892.43063
8/30/2017 0:10,24.39,90.9,4.914,0.08,0.178,34240.35516
8/30/2017 0:20,24.39,91.0,4.916,0.077,0.137,33492.38624
8/30/2017 0:30,24.43,91.1,4.915,0.051,0.152,32917.02553
8/30/2017 0:40,24.44,91.3,4.916,0.058,0.152,32245.77137
8/30/2017 0:50,24.46,91.5,4.918,0.062,0.133,31382.7303
8/30/2017 1:00,24.45,91.6,4.912,0.069,0.093,30737.04772
8/30/2017 1:10,24.47,91.7,4.915,0.066,0.148,30366.25971
8/30/2017 1:20,24.46,91.8,4.916,0.066,0.141,30091.36515
8/30/2017 1:30,24.49,91.9,4.916,0.077,0.122,29829.25638
8/30/2017 1:40,24.46,92.1,4.917,0.077,0.174,29183.57381
8/30/2017 1:50,24.47,92.2,4.917,0.069,0.163,28729.67814
8/30/2017 2:00,24.48,92.3,4.913,0.091,0.111,18283.68479
8/30/2017 2:10,24.46,92.3,4.916,0.08,0.137,21486.52608
8/30/2017 2:20,24.47,92.4,4.917,0.069,0.196,22260.06659
8/30/2017 2:30,24.47,92.4,4.915,0.058,0.167,22189.74473
8/30/2017 2:40,24.47,92.4,4.915,0.069,0.107,21224.41731
8/30/2017 2:50,24.45,92.5,4.914,0.073,0.163,20003.37403
8/30/2017 3:00,24.47,92.5,4.915,0.058,0.119,21703.88457
8/30/2017 3:10,24.46,92.5,4.914,0.069,0.204,22208.92342
8/30/2017 3:20,24.45,92.6,4.915,0.062,0.144,22292.03108
8/30/2017 3:30,24.43,92.6,4.914,0.084,0.122,22413.49612
8/30/2017 3:40,24.44,92.5,4.916,0.055,0.181,22215.31632
8/30/2017 3:50,24.44,92.5,4.914,0.066,0.122,22260.06659
8/30/2017 4:00,24.44,92.6,4.914,0.048,0.163,22247.2808
8/30/2017 4:10,24.44,92.6,4.918,0.066,0.133,22554.13984
8/30/2017 4:20,24.43,92.6,4.915,0.077,0.056,22765.10544
8/30/2017 4:30,24.4,92.6,4.916,0.066,0.156,22573.31853
8/30/2017 4:40,24.37,92.6,4.914,0.069,0.144,22387.92453
8/30/2017 4:50,24.34,92.6,4.915,0.084,0.107,22221.70921
8/30/2017 5:00,24.34,92.6,4.915,0.088,0.174,21556.84795
8/30/2017 5:10,24.38,92.6,4.916,0.08,0.156,20994.27303
8/30/2017 5:20,24.39,92.6,4.915,0.088,0.115,19536.69256
8/30/2017 5:30,24.33,92.7,4.917,0.073,0.126,19709.30078
8/30/2017 5:40,24.28,92.6,4.914,0.069,0.144,19715.69367
8/30/2017 5:50,24.24,92.6,4.915,0.084,0.137,19734.87236
8/30/2017 6:00,24.25,92.5,4.914,0.095,0.115,20144.01776
8/30/2017 6:10,24.28,92.8,4.915,0.091,0.107,20968.70144
8/30/2017 6:20,24.19,92.7,4.943,0.088,0.1,21544.06215
8/30/2017 6:30,24.17,92.8,4.921,0.15,0.13,22049.101
8/30/2017 6:40,24.05,92.8,4.919,0.369,0.233,22266.45949
8/30/2017 6:50,24.02,92.9,4.918,0.83,0.715,22413.49612
8/30/2017 7:00,24.07,93.0,4.924,2.712,2.026,22816.24861
8/30/2017 7:10,24.06,93.0,4.917,5.848,4.389,23135.89345
8/30/2017 7:20,24.05,93.1,4.921,6.272,4.752,22630.85461
8/30/2017 7:30,24.04,93.1,4.932,6.886,5.419,22023.52941
8/30/2017 7:40,23.99,93.1,4.923,12.62,9.58,23807.14761
8/30/2017 7:50,23.95,93.3,4.927,20.43,15.45,24951.47614
8/30/2017 8:00,24.1,93.3,4.933,27.32,20.73,25514.05105
8/30/2017 8:10,24.11,93.3,4.922,31.73,24.03,26108.59046
8/30/2017 8:20,24.09,93.3,4.922,35.46,26.82,26875.73807
8/30/2017 8:30,24.13,93.3,4.922,41.09,30.68,27598.13541
8/30/2017 8:40,24.03,93.3,4.927,41.55,31.22,28326.92564
8/30/2017 8:50,24.01,93.5,4.93,48.69,36.15,28985.39401
8/30/2017 9:00,24.06,93.3,4.921,73.0,53.41,29554.36182
8/30/2017 9:10,24.1,93.4,4.923,80.4,58.64,30046.61487
8/30/2017 9:20,24.14,93.4,4.946,56.28,42.66,30749.83352
8/30/2017 9:30,24.14,93.3,4.935,77.4,58.8,31133.40733
8/30/2017 9:40,24.11,93.4,4.925,174.8,131.5,31894.16204
8/30/2017 9:50,24.23,93.5,4.924,206.4,155.3,32680.48835
8/30/2017 10:00,24.29,93.4,4.921,234.1,168.8,33006.52608
8/30/2017 10:10,24.49,93.3,4.923,299.2,188.7,34822.10877
8/30/2017 10:20,24.56,93.4,4.926,391.3,211.0,33946.28191
8/30/2017 10:30,24.68,93.3,4.928,510.7,217.7,34560.0
8/30/2017 10:40,25.07,93.0,4.915,457.8,232.3,34662.28635
8/30/2017 10:50,25.14,92.1,4.916,369.5,206.7,34981.93119
8/30/2017 11:00,25.26,91.7,4.918,529.1,226.5,35033.07436
8/30/2017 11:10,25.63,91.4,4.918,676.2,259.7,35224.86127
8/30/2017 11:20,26.01,89.8,4.917,628.3,261.6,35531.72031
8/30/2017 11:30,26.5,87.2,4.916,680.9,251.6,35582.86349
8/30/2017 11:40,26.79,83.0,4.92,681.3,242.4,35889.72253
8/30/2017 11:50,27.23,81.0,4.92,398.2,244.3,36196.58158
8/30/2017 12:00,27.38,77.6,4.917,600.8,236.4,36535.40511
8/30/2017 12:10,27.78,76.6,4.919,711.0,240.0,35940.8657
8/30/2017 12:20,28.1,74.0,4.923,705.0,248.2,36324.43951
8/30/2017 12:30,28.39,72.4,4.923,746.0,269.6,36567.36959
8/30/2017 12:40,28.51,71.7,4.922,769.0,318.2,35122.57492
8/30/2017 12:50,28.59,70.2,4.919,398.1,239.7,36477.86903
8/30/2017 13:00,28.31,71.0,4.921,301.4,218.7,36509.83352
8/30/2017 13:10,28.22,71.2,4.921,484.3,275.7,37340.9101
8/30/2017 13:20,28.13,71.2,4.924,597.7,300.4,37379.26748
8/30/2017 13:30,28.07,70.2,4.922,572.5,304.5,37289.76693
8/30/2017 13:40,28.09,70.3,4.928,539.7,287.8,37276.98113
8/30/2017 13:50,28.42,69.42,4.927,462.4,282.9,37321.73141
8/30/2017 14:00,28.44,69.56,4.925,408.8,262.3,37328.12431
8/30/2017 14:10,28.19,69.62,4.926,504.9,267.2,37366.48169
8/30/2017 14:20,27.94,70.4,4.927,647.8,312.8,37053.22974
8/30/2017 14:30,27.96,70.9,4.926,554.6,273.6,36970.12209
8/30/2017 14:40,28.5,70.0,4.922,690.4,278.5,36784.72808
8/30/2017 14:50,28.55,67.85,4.925,487.3,272.9,36829.47836
8/30/2017 15:00,28.45,68.36,4.925,504.2,273.6,36791.12098
8/30/2017 15:10,28.57,68.26,4.924,301.3,224.4,36445.90455
8/30/2017 15:20,28.45,67.86,4.926,324.5,228.7,36445.90455
8/30/2017 15:30,28.74,67.99,4.921,523.0,240.0,35493.36293
8/30/2017 15:40,28.76,66.86,4.925,529.1,229.7,34943.57381
8/30/2017 15:50,28.82,66.52,4.93,542.3,213.3,34790.14428
8/30/2017 16:00,29.33,64.95,4.926,504.1,195.9,34700.64373
8/30/2017 16:10,29.51,60.69,4.921,478.6,185.2,34342.64151
8/30/2017 16:20,29.67,55.08,4.923,455.2,176.1,34016.60377
8/30/2017 16:30,29.83,54.78,4.921,431.5,169.5,34630.32186
8/30/2017 16:40,29.68,53.28,4.931,412.7,165.0,35033.07436
8/30/2017 16:50,29.55,53.58,4.925,398.5,158.3,34457.71365
8/30/2017 17:00,29.68,53.25,4.924,364.9,148.6,34042.17536
8/30/2017 17:10,29.41,52.25,4.923,340.9,142.6,34048.56826
8/30/2017 17:20,29.26,52.15,4.926,316.5,137.2,34310.67703
8/30/2017 17:30,29.22,52.18,4.944,288.9,132.4,34349.03441
8/30/2017 17:40,29.22,52.12,4.922,262.1,127.0,34528.03552
8/30/2017 17:50,28.89,52.52,4.919,220.3,123.1,34528.03552
8/30/2017 18:00,28.84,52.08,4.922,192.3,131.9,34451.32075
8/30/2017 18:10,28.79,51.98,4.919,185.4,154.1,34751.7869
8/30/2017 18:20,28.42,52.61,4.921,158.0,138.3,35378.29079
8/30/2017 18:30,28.07,53.45,4.919,132.8,117.7,36407.54717
8/30/2017 18:40,27.75,53.98,4.924,107.0,94.8,37973.80688
8/30/2017 18:50,27.38,54.94,4.926,82.9,72.8,40646.03774
8/30/2017 19:00,27.09,55.91,4.92,61.67,53.58,44047.05882
8/30/2017 19:10,26.92,56.31,4.921,43.05,36.66,45856.24861
8/30/2017 19:20,26.69,57.05,4.929,28.53,24.2,46559.46726
8/30/2017 19:30,26.51,58.22,4.929,17.17,14.69,46661.75361
8/30/2017 19:40,26.2,59.15,4.924,7.54,6.397,46680.9323
8/30/2017 19:50,25.94,59.82,4.923,2.442,2.048,46444.39512
8/30/2017 20:00,25.71,60.72,4.924,0.731,0.522,46495.53829
8/30/2017 20:10,25.42,62.18,4.924,0.164,0.137,46527.50277
8/30/2017 20:20,25.11,63.32,4.924,0.077,0.107,46367.68036
8/30/2017 20:30,24.9,64.18,4.92,0.088,0.089,46111.96448
8/30/2017 20:40,24.63,65.28,4.925,0.099,0.056,45932.96337
8/30/2017 20:50,24.35,66.19,4.926,0.102,0.056,45581.35405
8/30/2017 21:00,24.05,67.08,4.919,0.102,0.096,45293.6737
