Datetime,Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows,PowerConsumption
2/9/2017 0:00,11.99,67.65,4.913,0.048,0.148,30002.0339
2/9/2017 0:10,11.94,68.25,4.919,0.029,0.178,29349.15254
2/9/2017 0:20,11.96,68.08,4.918,0.044,0.126,28403.38983
2/9/2017 0:30,11.91,68.11,4.922,0.048,0.104,27988.47458
2/9/2017 0:40,11.98,68.08,4.919,0.062,0.137,27335.59322
2/9/2017 0:50,11.98,68.28,4.922,0.07,0.137,26438.64407
2/9/2017 1:00,12.03,67.75,4.912,0.048,0.134,25968.81356
2/9/2017 1:10,12.1,67.98,4.916,0.051,0.137,25608.81356
2/9/2017 1:20,12.02,68.21,4.921,0.077,0.174,25102.37288
2/9/2017 1:30,11.88,68.18,4.919,0.048,0.145,24772.88136
2/9/2017 1:40,11.95,66.94,4.919,0.029,0.163,24290.84746
2/9/2017 1:50,11.89,67.81,4.919,0.055,0.122,23973.55932
2/9/2017 2:00,11.78,67.88,4.921,0.059,0.134,23570.84746
2/9/2017 2:10,11.64,67.25,4.918,0.051,0.13,23515.9322
2/9/2017 2:20,11.66,66.14,4.92,0.055,0.13,23308.47458
2/9/2017 2:30,11.52,66.38,4.917,0.081,0.137,22972.88136
2/9/2017 2:40,11.53,66.51,4.923,0.051,0.13,22881.35593
2/9/2017 2:50,11.43,66.61,4.92,0.037,0.141,22692.20339
2/9/2017 3:00,11.36,66.28,4.917,0.103,0.082,22582.37288
2/9/2017 3:10,11.37,66.04,4.914,0.051,0.108,22686.10169
2/9/2017 3:20,11.3,66.21,4.918,0.073,0.148,22307.79661
2/9/2017 3:30,11.35,66.04,4.917,0.037,0.122,22027.11864
2/9/2017 3:40,11.44,65.58,4.915,0.055,0.104,21990.50847
2/9/2017 3:50,11.38,65.88,4.915,0.033,0.078,22021.01695
2/9/2017 4:00,11.27,66.04,4.916,0.051,0.13,22277.28814
2/9/2017 4:10,11.28,66.24,4.918,0.059,0.145,22545.76271
2/9/2017 4:20,11.31,66.18,4.917,0.059,0.111,22820.33898
2/9/2017 4:30,11.18,67.45,4.914,0.04,0.126,22734.91525
2/9/2017 4:40,10.99,68.21,4.917,0.066,0.096,22911.86441
2/9/2017 4:50,11.23,66.84,4.919,0.055,0.126,22948.47458
2/9/2017 5:00,11.34,65.01,4.92,0.062,0.104,22637.28814
2/9/2017 5:10,11.39,64.77,4.919,0.084,0.115,22417.62712
2/9/2017 5:20,11.3,64.77,4.917,0.062,0.111,22850.84746
2/9/2017 5:30,11.19,65.81,4.92,0.07,0.137,23046.10169
2/9/2017 5:40,11.16,65.88,4.917,0.048,0.137,24174.91525
2/9/2017 5:50,11.22,65.78,4.914,0.048,0.145,25035.25424
2/9/2017 6:00,11.23,66.38,4.92,0.088,0.119,24455.59322
2/9/2017 6:10,11.26,66.48,4.918,0.07,0.137,24144.40678
2/9/2017 6:20,11.33,66.61,4.921,0.07,0.108,24065.08475
2/9/2017 6:30,11.43,65.81,4.915,0.048,0.145,23338.98305
2/9/2017 6:40,11.35,66.51,4.915,0.073,0.108,23040.0
2/9/2017 6:50,11.29,66.81,4.914,0.051,0.122,21776.94915
2/9/2017 7:00,11.4,66.24,4.924,0.066,0.126,20941.01695
2/9/2017 7:10,11.41,65.88,4.918,0.077,0.074,20581.01695
2/9/2017 7:20,11.39,65.58,4.916,0.059,0.111,20764.0678
2/9/2017 7:30,11.31,65.51,4.918,0.051,0.156,20849.49153
2/9/2017 7:40,10.84,68.48,4.917,0.073,0.126,21331.52542
2/9/2017 7:50,10.95,68.48,4.921,0.234,0.163,21642.71186
2/9/2017 8:00,10.98,67.58,4.921,1.194,1.213,22149.15254
2/9/2017 8:10,10.6,70.4,4.92,4.434,4.311,22460.33898
2/9/2017 8:20,10.03,72.0,4.919,13.33,12.71,23491.52542
2/9/2017 8:30,9.94,72.5,4.915,21.82,20.44,24345.76271
2/9/2017 8:40,10.16,71.9,4.916,56.38,47.85,24675.25424
2/9/2017 8:50,10.83,70.5,4.919,90.2,63.47,25041.35593
2/9/2017 9:00,11.09,68.68,4.923,116.3,60.78,25651.52542
2/9/2017 9:10,11.24,68.98,4.917,147.4,58.4,26450.84746
2/9/2017 9:20,11.71,67.91,4.917,172.9,57.14,26798.64407
2/9/2017 9:30,12.12,65.51,4.923,212.8,59.13,27567.45763
2/9/2017 9:40,12.45,64.37,4.921,245.1,62.04,28494.91525
